ID,Award,GrammyYear,Genre,Album,Artist
13,Best Jazz Instrumental Album,2018,Jazz,Emanon,The Wayne Shorter Quartet
14,Best Large Jazz Ensemble Album,2018,Jazz,"American Dreamers: Voices Of Hope, Music Of Freedom",John Daversa Big Band Featuring DACA Artists
15,Best Latin Jazz Album,2018,Jazz,Back To The Sunset,Dafnis Prieto Big Band
16,Best Gospel Album,2018,Gospel/Contemporary Christian Music,Hiding Place,Tori Kelly
17,Best Contemporary Christian Music Album,2018,Gospel/Contemporary Christian Music,Look Up Child,Lauren Daigle
18,Best Roots Gospel Album,2018,Gospel/Contemporary Christian Music,Unexpected,Jason Crabb
19,Best Latin Pop Album,2018,Latin,Sincera,Claudia Brant
20,"Best Latin Rock, Urban or Alternative Album",2018,Latin,Aztlán,Zoé
21,Best Regional Mexican Music Album (Including Tejano),2018,Latin,¡México Por Siempre!,Luis Miguel
22,Best Tropical Latin Album,2018,Latin,Anniversary,Spanish Harlem Orchestra
23,Best Americana Album,2018,American Roots Music,"By The Way, I Forgive You",Brandi Carlile
24,Best Bluegrass Album,2018,American Roots Music,The Travelin' McCourys,The Travelin' McCourys
25,Best Traditional Blues Album,2018,American Roots Music,The Blues Is Alive And Well,Buddy Guy
26,Best Contemporary Blues Album,2018,American Roots Music,Please Don't Be Dead,Fantastic Negrito
27,Best Folk Album,2018,American Roots Music,All Ashore,Punch Brothers
28,Best Regional Roots Music Album,2018,American Roots Music,No 'Ane'i,Kalani Pe'a
29,Best Reggae Album,2018,Reggae,44/876,Sting
30,Best World Music Album,2018,World Music,Freedom,Soweto Gospel Choir
31,Best Children's Album,2018,Children's,All The Sounds,Lucy Kalantari & The Jazz Cats
32,"Best Spoken Word Album (Includes Poetry, Audio Books & Storytelling)",2018,Spoken Word,Faith  - A Journey For All,Jimmy Carter
33,Best Comedy Album,2018,Comedy,Equanimity & The Bird Revelation,Dave Chappelle
34,Best Musical Theater Album,2018,Musical Theater,The Band's Visit,"Stephen Flaherty, composer; Lynn Ahrens, lyricist) (New Broadway Cast"
35,Best Album Notes,2018,Notes,Voices Of Mississippi: Artists And Musicians Documented By William Ferris,Bob Dylan
36,Best Historical Album,2018,Historical,Voices Of Mississippi: Artists And Musicians Documented By William Ferris,Oscar Levant
37,"Best Engineered Album, Non-Classical",2018,"Production, Non-Classical",Colors,Charlie Puth
38,Best Immersive Audio Album,2018,"Production, Immersive Audio",Eye In The Sky - 35th Anniversary Edition,Engine-Earz Experiment
39,"Best Engineered Album, Classical",2018,"Production, Classical",Shostakovich: Symphonies Nos. 4 & 11,A Far Cry
40,Best Classical Solo Vocal Album,2018,Classical,"Songs Of Orpheus - Monteverdi, Caccini, D'India & Landi",Karim Sulayman
41,Album Of The Year,2017,General,24K Magic,Bruno Mars
42,Best Traditional Pop Vocal Album,2017,Traditional Pop,Tony Bennett Celebrates 90,Dae Bennett
43,Best Pop Vocal Album,2017,Pop,÷ (Divide),Ed Sheeran
44,Best Dance/Electronic Album,2017,Dance/Electronic Music,3-D The Catalogue,Kraftwerk
45,Best Contemporary Instrumental Album,2017,Contemporary Instrumental Music,Prototype,Jeff Lorber Fusion
46,Best Rock Album,2017,Rock,A Deeper Understanding,The War On Drugs
47,Best Alternative Music Album,2017,Alternative,Sleep Well Beast,The National
48,Best Urban Contemporary Album,2017,R&B,Starboy,The Weeknd
49,Best R&B Album,2017,R&B,24K Magic,Bruno Mars
50,Best Rap Album,2017,Rap,DAMN.,Kendrick Lamar
51,Best Country Album,2017,Country,From A Room: Volume 1,Chris Stapleton
52,Best New Age Album,2017,New Age,Dancing On Water,Peter Kater
53,Best Jazz Vocal Album,2017,Jazz,Dreams And Daggers,Cécile McLorin Salvant
54,Best Jazz Instrumental Album,2017,Jazz,Rebirth,Billy Childs
55,Best Large Jazz Ensemble Album,2017,Jazz,Bringin' It,Christian McBride Big Band
56,Best Latin Jazz Album,2017,Jazz,Jazz Tango,Pablo Ziegler Trio
57,Best Gospel Album,2017,Gospel/Contemporary Christian Music,Let Them Fall In Love,CeCe Winans
58,Best Contemporary Christian Music Album,2017,Gospel/Contemporary Christian Music,Chain Breaker,Zach Williams
59,Best Roots Gospel Album,2017,Gospel/Contemporary Christian Music,Sing It Now: Songs Of Faith & Hope,Reba McEntire
60,Best Latin Pop Album,2017,Latin,El Dorado,Shakira
61,"Best Latin Rock, Urban or Alternative Album",2017,Latin,Residente,Residente
62,Best Regional Mexican Music Album (Including Tejano),2017,Latin,Arrieros Somos Sesiones Acústicas,Aida Cuevas
63,Best Tropical Latin Album,2017,Latin,Salsa Big Band,Rubén Blades Con Roberto Delgado & Orquesta
64,Best Americana Album,2017,American Roots Music,The Nashville Sound,Jason Isbell
65,Best Bluegrass Album,2017,American Roots Music,All The Rage - In Concert Volume One [Live],The Infamous Stringdusters
66,Best Traditional Blues Album,2017,American Roots Music,Blue & Lonesome,The Rolling Stones
67,Best Contemporary Blues Album,2017,American Roots Music,TajMo,Taj Mahal
68,Best Folk Album,2017,American Roots Music,Mental Illness,Aimee Mann
69,Best Regional Roots Music Album,2017,American Roots Music,Kalenda,Lost Bayou Ramblers
70,Best Reggae Album,2017,Reggae,Stony Hill,"Damian ""Jr. Gong"" Marley"
71,Best World Music Album,2017,World Music,Shaka Zulu Revisited: 30th Anniversary Celebration,Ladysmith Black Mambazo
72,Best Children's Album,2017,Children's,Feel What U Feel,Lisa Loeb
73,"Best Spoken Word Album (Includes Poetry, Audio Books & Storytelling)",2017,Spoken Word,The Princess Diarist,Carrie Fisher
74,Best Comedy Album,2017,Comedy,The Age Of Spin & Deep In The Heart Of Texas,Dave Chappelle
75,Best Musical Theater Album,2017,Musical Theater,Dear Evan Hansen,Original Broadway Cast Recording
76,Best Album Notes,2017,Notes,Live At The Whisky A Go Go: The Complete Recordings,Otis Redding
77,Best Historical Album,2017,Historical,Leonard Bernstein - The Composer,Leonard Bernstein
78,"Best Engineered Album, Non-Classical",2017,"Production, Non-Classical",24K Magic,Bruno Mars
79,Best Surround Sound Album,2017,"Production, Immersive Audio",Early Americans,Jim Anderson
80,"Best Engineered Album, Classical",2017,"Production, Classical",Shostakovich: Symphony No. 5; Barber: Adagio,Manfred Honeck & Pittsburgh Symphony Orchestra
81,Best Classical Solo Vocal Album,2017,Classical,Crazy Girl Crazy,Ludwig Orchestra
82,Album Of The Year,2016,General,25,Adele
83,Best Traditional Pop Vocal Album,2016,Traditional Pop,Summertime: Willie Nelson Sings Gershwin,Willie Nelson
84,Best Pop Vocal Album,2016,Pop,25,Adele
85,Best Dance/Electronic Album,2016,Dance/Electronic Music,Skin,Flume
86,Best Contemporary Instrumental Album,2016,Contemporary Instrumental Music,Culcha Vulcha,Snarky Puppy
87,Best Rock Album,2016,Rock,Tell Me I'm Pretty,Cage The Elephant
88,Best Alternative Music Album,2016,Alternative,Blackstar,David Bowie
89,Best Urban Contemporary Album,2016,R&B,Lemonade,Beyoncé
90,Best R&B Album,2016,R&B,Lalah Hathaway Live,Lalah Hathaway
91,Best Rap Album,2016,Rap,Coloring Book,Chance The Rapper
92,Best Country Album,2016,Country,A Sailor's Guide To Earth,Sturgill Simpson
93,Best New Age Album,2016,New Age,White Sun II,White Sun
94,Best Jazz Vocal Album,2016,Jazz,Take Me To The Alley,Gregory Porter
95,Best Jazz Instrumental Album,2016,Jazz,Country For Old Men,John Scofield
96,Best Large Jazz Ensemble Album,2016,Jazz,Presidential Suite: Eight Variations On Freedom,Ted Nash Big Band
97,Best Latin Jazz Album,2016,Jazz,Tribute To Irakere: Live In Marciac,Chucho Valdés
98,Best Gospel Album,2016,Gospel/Contemporary Christian Music,Losing My Religion,Kirk Franklin
99,Best Contemporary Christian Music Album,2016,Gospel/Contemporary Christian Music,Love Remains,Hillary Scott & The Scott Family
